Date,Total cases,Total Recovered,Total Death
01-Mar,3,null,null
02-Mar,6,null,null
03-Mar,8,null,null
04-Mar,30,null,null
05-Mar,31,null,null
06-Mar,32,null,null
07-Mar,35,null,null
08-Mar,41,null,null
09-Mar,44,null,null
10-Mar,60,null,null
11-Mar,62,null,null
12-Mar,74,3,null
13-Mar,82,3,1
14-Mar,107,9,2
15-Mar,110,9,2
16-Mar,114,13,2
17-Mar,137,14,2
18-Mar,151,14,3
19-Mar,173,15,3
20-Mar,223,20,4
21-Mar,283,23,4
22-Mar,360,23,4
23-Mar,468,24,7
24-Mar,519,37,9
25-Mar,606,41,9
26-Mar,694,43,13
27-Mar,873,67,17
28-Mar,979,79,19
29-Mar,1071,87,25
30-Mar,1251,100,29
31-Mar,1637,102,32
01-Apr,1965,132,38
02-Apr,2301,151,50
03-Apr,2902,157,56
04-Apr,3374,184,68
05-Apr,4067,267,77
06-Apr,4421,292,109
07-Apr,5194,401,149
08-Apr,5734,473,166
09-Apr,6412,504,199
10-Apr,7447,643,239
11-Apr,8356,715,273
12-Apr,9152,857,308
13-Apr,10363,1036,339
14-Apr,11439,1306,377
15-Apr,12380,1489,414
16-Apr,13387,1749,437
17-Apr,14378,1992,480
18-Apr,15712,2231,507
19-Apr,17265,2547,543
20-Apr,18601,3252,590
21-Apr,19984,3870,640
22-Apr,21393,4258,681
23-Apr,23077,4749,718
24-Apr,24506,5063,775
25-Apr,26496,5804,824
26-Apr,27892,6185,872
27-Apr,29435,6869,934
28-Apr,31332,7696,1007
29-Apr,33050,8325,1074
30-Apr,35043,8889,1147
01-May,37336,9951,1218
02-May,39980,10633,1301
